setLabel,S/T Minimal Pairs - Initial S,S/T Minimal Pairs - Initial T,S/T Minimal Pairs - Final S,S/T Minimal Pairs - Final T,S/T Minimal Pairs - Medial S,S/T Minimal Pairs - Medial T,R/W Minimal Pairs - Initial R,R/W Minimal Pairs - Initial W,R/W Minimal Pairs - Medial R,R/W Minimal Pairs - Medial W,R/W Minimal Pairs - Final R,R/W Minimal Pairs - Final W,L/Y Minimal Pairs - Initial L,L/Y Minimal Pairs - Initial Y,L/Y Minimal Pairs - Medial L,L/Y Minimal Pairs - Medial Y,L/Y Minimal Pairs - Final L,L/Y Minimal Pairs - Final Y,,,,,,
prompt,Which word has the /s/ sound?,Which word has the /t/ sound?,Which word has the /s/ sound?,Which word has the /t/ sound?,Which word has the /s/ sound?,Which word has the /t/ sound?,Which word has the /r/ sound?,Which word has the /w/ sound?,Which word has the /r/ sound?,Which word has the /w/ sound?,Which word has the /r/ sound?,Which word has the /w/ sound?,Which word has the /l/ sound?,Which word has the /y/ sound?,Which word has the /l/ sound?,Which word has the /y/ sound?,Which word has the /l/ sound?,Which word has the /y/ sound?,,,,,,
targetSound,s,t,s,t,s,t,r,w,r,w,r,w,l,y,l,y,l,y,,,,,,
contrastSound,t,s,t,s,t,s,w,r,w,r,w,r,y,l,y,l,y,l,,,,,,
folder,S:T Minimal Pairs - Initial,S:T Minimal Pairs - Initial,S:T Minimal Pairs - Final,S:T Minimal Pairs - Final,S:T Minimal Pairs - Medial,S:T Minimal Pairs - Medial,R:W Minimal Pairs - Initial ,R:W Minimal Pairs - Initial ,R:W Minimal Pairs - Medial,R:W Minimal Pairs - Medial,R:W Minimal Pairs - Final,R:W Minimal Pairs - Final,L:Y Minimal Pairs - Initial,L:Y Minimal Pairs - Initial,L:Y Minimal Pairs - Medial,L:Y Minimal Pairs - Medial,L:Y Minimal Pairs - Final,L:Y Minimal Pairs - Final,,,,,,
word1,sip/tip,sip/tip,bus/bite,bus/bite,basin/baton,basin/baton,red/wed,red/wed,carry/kiwi,carry/kiwi,car/cow,car/cow,lap/yap,lap/yap,a lawn/a yawn,a lawn/a yawn,,,,,,,,
word2,sack/tack,sack/tack,face/fight,face/fight,bison/biting,bison/biting,run/one,run/one,hairy/Hawaii,hairy/Hawaii,far/foe,far/foe,lawn/yawn,lawn/yawn,a lamb/a yam,a lamb/a yam,,,,,,,,
word3,sad/tad,sad/tad,Grace/grate,Grace/grate,fossil/pothole,lesson/letter,rag/wag,rag/wag,hurray/away,hurray/away,bar/bow,bar/bow,less/yes,less/yes,alone/a yolk,alone/a yolk,,,,,,,,
word4,sank/tank,sank/tank,ice/height,ice/height,mason/metal,mason/metal,rack/whack,rack/whack,sorry/sewing,sorry/sewing,star/saw,star/saw,lot/yacht,lot/yacht,a lot/ a yacht,a lot/ a yacht,,,,,,,,
word5,seal/teal,seal/teal,lace/late,lace/late,castle/cattle,castle/cattle,rail/whale,rail/whale,hurry/homework,hurry/homework,jar/jaw,jar/jaw,lard/yard,lard/yard,I like/oh yikes,I like/oh yikes,,,,,,,,
word6,seat/treat,seat/treat,nice/night,nice/night,racing/rating,racing/rating,ripe/wipe,ripe/wipe,worry/power,worry/power,door/dough,door/dough,lay/yay,lay/yay,Callie/kayak,Callie/kayak,,,,,,,,
word7,c/tea,c/tea,race/right,race/right,kissing/kitten,kissing/kitten,rock/walk,rock/walk,Terry/towel,Terry/towel,four/foe,four/foe,lung/young,lung/young,rolo/royal,rolo/royal,,,,,,,,
word8,sigh/tie,sigh/tie,rice/write,rice/write,listen/little,listen/little,reek/week,reek/week,fairy/flower,fairy/flower,sore/sew,sore/sew,luck/yuck,luck/yuck,Lola/loyal,Lola/loyal,,,,,,,,
word9,sight/tight,sight/tight,slice/sight,slice/sight,whistle/whittle,whistle/whittle,ring/wing,ring/wing,a rake/awake,a rake/awake,more/mow,more/mow,lamb/yam,lamb/yam,polo/yo-yo,polo/yo-yo,,,,,,,,
word10,sill/till,sill/till,place/plate,place/plate,fossil/pothole,fossil/pothole,rain/wane,rain/wane,a rail/a whale,a rail/a whale,chair/chow,chair/chow,low/yo,low/yo,halo/heyo,halo/heyo,,,,,,,,
word11,sink/t,sink/t,dice/diet,dice/diet,pencil/lentil,pencil/lentil,row/woah,row/woah,story/seaweed,story/seaweed,hair/how,hair/how,like/yikes,like/yikes,hilly/higher,hilly/higher,,,,,,,,
word12,Sue/two,Sue/two,moss/moat,moss/moat,insect/a tent,insect/a tent,rake/wake,rake/wake,around/unwound,around/unwound,pear/pow,pear/pow,Lue/you,Lue/you,Billy/buyer,Billy/buyer,,,,,,,,
word13,sock/tall,sock/tall,boss/boat,boss/boat,,,rut/what,rut/what,,,,,,,,,,,,,,,,
word14,sew/toe,sew/toe,,,,,,,,,,,,,,,,,,,,,,
