phonological_process,process_category,sound_a,sound_b,position,folder_name,folder_name_slash
Prevocalic Voicing,Assimilation,T,D,Initial,T-D Minimal Pairs - Initial,T/D Minimal Pairs - Initial
Backing,Substitution,T,K,Final,T-K Minimal Pairs - Final,T/K Minimal Pairs - Final
Backing,Substitution,T,K,Initial,T-K Minimal Pairs - Initial,T/K Minimal Pairs - Initial
Backing,Substitution,T,K,Medial,T-K Minimal Pairs - Medial,T/K Minimal Pairs - Medial
Final Consonant Deletion,Syllable Structure,TH,(deleted),Final,Final TH Minimal Pairs - Final,TH/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,TH,(deleted),Initial,Initial TH Minimal Pairs - Initial,TH/(deleted) Minimal Pairs - Initial
Stopping,Substitution,TH,B,Final,TH-B Minimal Pairs - Final,TH/B Minimal Pairs - Final
Stopping,Substitution,TH,B,Initial,TH-B Minimal Pairs - Initial,TH/B Minimal Pairs - Initial
Stopping,Substitution,TH,B,Medial,TH-B Minimal Pairs - Medial,TH/B Minimal Pairs - Medial
Stopping,Substitution,TH,D,Final,TH-D Minimal Pairs - Final,TH/D Minimal Pairs - Final
Stopping,Substitution,TH,D,Initial,TH-D Minimal Pairs - Initial,TH/D Minimal Pairs - Initial
Stopping,Substitution,TH,D,Medial,TH-D Minimal Pairs - Medial,TH/D Minimal Pairs - Medial
Labialization,Substitution,TH,F,Final,TH-F Minimal Pairs - Final,TH/F Minimal Pairs - Final
